id,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,bldg_type,house_style,overall_qual,overall_cond,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,area_qual,age,yrs_sincerm
2913,90,RL,84.0,11836,Pave,NA,3,Lvl,4,Corner,3,Mitchel,Duplex,1Story,5,5,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,3.0,3.0,0.0,4.0,149.0,1.0,0.0,1503.0,1652.0,GasA,3,Y,5,1652,0,0,1652,0.0,0.0,2,0,4,2,3,8,8,0,0,2Types,1.0,3.0,928.0,3.0,3.0,2,0,0,0,0,0,0,0,0,NA,0,3,2006,WD ,2,36,36
2900,20,RL,85.0,14331,Pave,NA,4,Lvl,4,Inside,3,Timber,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,630.0,4,3,PConc,5.0,3.0,4.0,6.0,1274.0,1.0,0.0,526.0,1800.0,GasA,5,Y,5,1800,0,0,1800,1.0,0.0,2,0,3,1,4,7,8,1,4,Attchd,3.0,3.0,765.0,3.0,3.0,2,270,78,0,0,0,0,0,0,NA,0,5,2006,WD ,2,4,4
2258,20,RL,115.0,16905,Pave,NA,4,Lvl,4,Inside,3,Timber,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,3.0,4.0,4.0,967.0,1.0,0.0,383.0,1350.0,GasA,4,Y,5,1328,0,0,1328,0.0,1.0,1,1,2,1,3,5,8,2,4,Attchd,2.0,1.0,308.0,3.0,3.0,1,0,104,0,0,0,0,0,0,NA,0,7,2007,WD ,2,48,48
1379,80,RL,80.0,13014,Pave,NA,4,Lvl,4,Inside,3,Sawyer,1Fam,SLvl,6,5,Gable,CompShg,HdBoard,Plywood,BrkFace,39.0,3,3,CBlock,3.0,3.0,3.0,5.0,528.0,1.0,0.0,480.0,1008.0,GasA,3,Y,5,1096,0,0,1096,1.0,0.0,1,0,3,1,3,6,8,1,2,Attchd,1.0,2.0,484.0,3.0,3.0,2,168,0,0,0,0,0,0,0,NA,0,12,2008,WD ,2,30,30
878,120,RM,66.0,4435,Pave,NA,4,Lvl,4,Inside,3,CollgCr,TwnhsE,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,4,3,PConc,4.0,3.0,3.0,6.0,685.0,1.0,0.0,163.0,848.0,GasA,5,Y,5,848,0,0,848,1.0,0.0,1,0,1,1,4,4,8,0,0,Attchd,3.0,2.0,420.0,3.0,3.0,2,140,0,0,0,0,0,0,0,NA,0,6,2009,WD ,2,6,5
961,20,RL,79.0,14463,Pave,NA,3,HLS,4,Corner,3,Timber,1Fam,1Story,9,5,Gable,CompShg,CemntBd,CmentBd,BrkFace,406.0,5,3,PConc,5.0,3.0,4.0,6.0,1115.0,1.0,0.0,526.0,1641.0,GasA,5,Y,5,1641,0,0,1641,1.0,0.0,2,0,3,1,5,7,8,0,0,Attchd,3.0,3.0,885.0,3.0,3.0,2,0,95,0,0,0,0,0,0,NA,0,1,2009,WD ,2,1,1
681,20,RL,71.0,7350,Pave,NA,4,Lvl,4,Inside,3,NAmes,1Fam,1Story,5,6,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3.0,3.0,0.0,1.0,0.0,1.0,0.0,1041.0,1041.0,GasA,4,Y,5,1041,0,0,1041,0.0,0.0,1,0,3,1,3,6,8,0,0,Attchd,2.0,1.0,294.0,3.0,3.0,2,0,0,0,0,0,0,0,2,NA,0,3,2009,WD ,2,51,51
988,20,RL,66.0,9819,Pave,NA,3,Lvl,4,Inside,5,Mitchel,1Fam,1Story,6,5,Gable,CompShg,Plywood,ImStucc,None,0.0,3,3,PConc,3.0,3.0,4.0,5.0,1567.0,1.0,0.0,0.0,1567.0,GasA,3,Y,5,1567,0,0,1567,1.0,0.0,2,0,2,1,4,5,8,2,3,Attchd,2.0,2.0,714.0,3.0,3.0,2,264,32,0,0,0,0,0,0,NA,0,5,2009,WD ,2,32,32
658,70,RL,80.0,8146,Pave,NA,4,Lvl,4,Corner,3,OldTown,1Fam,2Story,4,8,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,4,BrkTil,2.0,3.0,0.0,1.0,0.0,1.0,0.0,405.0,405.0,GasA,4,Y,5,717,322,0,1039,0.0,0.0,1,0,2,1,3,6,8,0,0,Detchd,1.0,1.0,281.0,3.0,3.0,0,0,0,168,0,111,0,0,0,NA,0,5,2009,WD ,2,109,6
2780,60,RL,65.0,14006,Pave,NA,3,Lvl,4,Inside,3,CollgCr,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,144.0,4,3,PConc,4.0,3.0,0.0,1.0,0.0,1.0,0.0,936.0,936.0,GasA,5,Y,5,936,840,0,1776,0.0,0.0,2,1,3,1,4,7,8,1,3,Attchd,2.0,2.0,474.0,3.0,3.0,2,144,96,0,0,0,0,0,0,NA,0,2,2006,WD ,2,4,4
