id,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,bldg_type,house_style,overall_qual,overall_cond,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,area_qual,age,yrs_sincerm
1127,60,FV,85.0,10800,Pave,NA,4,Lvl,1,Inside,3,Somerst,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,100.0,4,3,PConc,5.0,3.0,0.0,6.0,789.0,1.0,0.0,245.0,1034.0,GasA,5,Y,5,1050,1028,0,2078,1.0,0.0,2,1,3,1,5,8,8,1,4,Attchd,3.0,3.0,836.0,3.0,3.0,2,0,102,0,0,0,0,0,0,NA,0,4,2008,New,2,1,0
2730,20,RL,100.0,13350,Pave,NA,3,Lvl,1,Inside,3,Sawyer,1Fam,1Story,5,5,Hip,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3.0,3.0,0.0,5.0,762.0,1.0,0.0,102.0,864.0,GasA,3,Y,5,894,0,0,894,1.0,0.0,1,0,3,1,3,5,8,1,2,Attchd,1.0,2.0,440.0,3.0,3.0,2,241,0,0,0,0,0,0,3,NA,0,6,2006,WD ,2,32,32
392,80,RL,81.0,10448,Pave,NA,3,Lvl,1,Corner,3,NWAmes,1Fam,SLvl,6,6,Gable,CompShg,HdBoard,HdBoard,BrkFace,333.0,3,3,CBlock,3.0,3.0,0.0,1.0,0.0,1.0,0.0,689.0,689.0,GasA,3,Y,5,1378,741,0,2119,0.0,0.0,2,1,3,1,3,7,8,1,3,Attchd,2.0,2.0,583.0,3.0,3.0,2,0,104,0,0,0,0,0,4,NA,0,8,2009,COD,2,37,37
2713,20,RL,66.0,11553,Pave,NA,3,Lvl,1,Inside,3,Sawyer,1Fam,1Story,5,5,Hip,CompShg,Plywood,Plywood,BrkFace,188.0,3,3,CBlock,3.0,3.0,0.0,4.0,673.0,1.0,0.0,378.0,1051.0,GasA,3,Y,5,1159,0,0,1159,0.0,0.0,1,1,3,1,3,7,8,1,2,Attchd,1.0,1.0,336.0,3.0,3.0,2,466,0,0,0,0,0,0,0,NA,0,7,2006,WD ,2,38,38
1595,160,RM,66.0,2665,Pave,NA,4,Lvl,1,Inside,3,MeadowV,TwnhsE,2Story,5,6,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,4.0,3.0,2.0,1.0,0.0,1.0,0.0,264.0,264.0,GasA,3,Y,5,616,688,0,1304,0.0,0.0,1,1,3,1,3,4,8,1,4,BuiltIn,3.0,1.0,336.0,3.0,3.0,2,141,24,0,0,0,0,0,0,NA,0,6,2008,WD ,2,32,32
2548,60,RL,85.0,9350,Pave,NA,4,Lvl,1,Inside,3,NAmes,1Fam,2Story,5,6,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,0.0,5.0,360.0,1.0,0.0,360.0,720.0,GasA,4,Y,5,720,720,0,1440,0.0,0.0,1,1,4,1,3,7,8,1,1,Attchd,3.0,2.0,480.0,3.0,3.0,2,0,32,240,0,0,0,0,0,NA,0,7,2006,WD ,2,42,42
2632,85,RL,69.0,10205,Pave,NA,3,Lvl,1,Inside,3,NAmes,1Fam,SFoyer,5,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3.0,3.0,3.0,4.0,784.0,1.0,0.0,141.0,925.0,GasA,3,Y,5,999,0,0,999,1.0,0.0,1,0,3,1,3,6,8,0,0,Attchd,1.0,1.0,300.0,3.0,3.0,2,150,72,0,0,0,0,0,0,NA,0,5,2006,WD ,2,44,44
1390,20,RL,94.0,9239,Pave,NA,4,Lvl,1,Inside,3,Sawyer,1Fam,1Story,5,8,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,3.0,0.0,6.0,634.0,1.0,0.0,326.0,960.0,GasA,5,Y,5,960,0,0,960,1.0,0.0,1,0,3,1,4,6,8,0,0,Attchd,3.0,1.0,300.0,3.0,3.0,2,168,0,0,0,0,0,0,0,NA,0,5,2008,WD ,1,45,5
1185,60,FV,66.0,7500,Pave,NA,4,Lvl,1,Inside,3,Somerst,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,0.0,1.0,0.0,1.0,0.0,952.0,952.0,GasA,5,Y,5,952,860,0,1812,0.0,0.0,2,1,3,1,3,7,8,1,3,Attchd,2.0,2.0,469.0,3.0,3.0,2,144,112,0,0,0,0,0,0,NA,0,4,2008,WD ,2,6,6
1324,20,RM,65.0,9750,Pave,NA,4,Lvl,1,Inside,3,OldTown,1Fam,1Story,5,6,Gable,CompShg,MetalSd,MetalSd,BrkFace,164.0,3,3,CBlock,3.0,3.0,0.0,3.0,200.0,1.0,0.0,784.0,984.0,GasA,4,Y,5,984,0,0,984,1.0,0.0,1,0,2,1,2,5,8,0,0,Detchd,1.0,1.0,308.0,3.0,3.0,0,0,0,0,0,0,0,0,0,NA,0,6,2008,WD ,2,49,49
1076,120,RL,48.0,6240,Pave,NA,4,Lvl,1,Inside,3,NridgHt,TwnhsE,1Story,8,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,176.0,4,3,PConc,4.0,3.0,0.0,6.0,846.0,1.0,0.0,496.0,1342.0,GasA,5,Y,5,1342,0,0,1342,1.0,0.0,2,0,2,1,4,6,8,1,4,Attchd,3.0,2.0,550.0,3.0,3.0,2,0,35,0,0,0,0,0,0,NA,0,6,2008,WD ,2,2,1
2114,60,RL,66.0,14364,Pave,NA,3,Low,1,Inside,5,SawyerW,1Fam,2Story,7,5,Gable,CompShg,Plywood,Plywood,BrkFace,128.0,4,3,CBlock,4.0,3.0,4.0,6.0,1065.0,1.0,0.0,92.0,1157.0,GasA,5,Y,5,1180,882,0,2062,1.0,0.0,2,1,3,1,3,7,8,1,4,Attchd,3.0,2.0,454.0,3.0,3.0,2,60,55,0,0,154,0,0,0,NA,0,4,2007,WD ,2,19,18
792,60,RL,50.0,9350,Pave,NA,4,Bnk,1,Inside,3,Edwards,1Fam,2Story,6,7,Hip,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3.0,3.0,0.0,4.0,342.0,1.0,0.0,405.0,747.0,GasA,5,Y,5,892,747,0,1639,0.0,0.0,1,1,3,1,4,6,8,1,4,Detchd,1.0,1.0,240.0,3.0,3.0,2,0,50,0,0,0,0,0,0,NA,0,7,2009,WD ,2,63,59
1608,50,RL,75.0,12508,Pave,NA,3,Lvl,1,Inside,3,Mitchel,1Fam,1.5Fin,6,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4.0,3.0,2.0,5.0,660.0,1.0,0.0,323.0,983.0,GasA,5,Y,5,983,767,0,1750,1.0,0.0,2,0,4,1,3,7,5,0,0,Attchd,1.0,1.0,423.0,3.0,3.0,2,245,0,156,0,0,0,0,0,Shed,1300,7,2008,WD ,2,68,23
10,60,RL,60.0,7500,Pave,NA,4,Lvl,1,Inside,3,Gilbert,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3.0,3.0,0.0,1.0,0.0,1.0,0.0,994.0,994.0,GasA,4,Y,5,1028,776,0,1804,0.0,0.0,2,1,3,1,4,7,8,1,3,Attchd,3.0,2.0,442.0,3.0,3.0,2,140,60,0,0,0,0,0,0,NA,0,6,2010,WD ,2,11,11
2026,70,RL,60.0,8730,Pave,NA,4,Lvl,1,Inside,3,BrkSide,1Fam,2Story,6,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3.0,3.0,0.0,1.0,0.0,1.0,0.0,698.0,698.0,GasA,5,Y,4,698,698,0,1396,0.0,0.0,1,0,3,1,3,7,8,0,0,Detchd,1.0,1.0,384.0,3.0,3.0,2,0,0,0,0,259,0,0,0,NA,0,7,2007,WD ,1,92,4
1,20,RL,141.0,31770,Pave,NA,3,Lvl,1,Corner,3,NAmes,1Fam,1Story,6,5,Hip,CompShg,BrkFace,Plywood,Stone,112.0,3,3,CBlock,3.0,4.0,4.0,4.0,639.0,1.0,0.0,441.0,1080.0,GasA,2,Y,5,1656,0,0,1656,1.0,0.0,1,0,3,1,3,7,8,2,4,Attchd,3.0,2.0,528.0,3.0,3.0,1,210,62,0,0,0,0,0,0,NA,0,5,2010,WD ,2,50,50
162,50,RL,60.0,8064,Pave,NA,4,Lvl,1,Inside,3,NAmes,1Fam,1.5Fin,6,8,Gable,CompShg,WdShing,Wd Shng,None,0.0,3,3,CBlock,3.0,3.0,0.0,5.0,481.0,3.0,174.0,161.0,816.0,GasA,3,Y,5,816,408,0,1224,1.0,0.0,1,0,3,1,3,5,8,0,0,Detchd,1.0,1.0,280.0,3.0,3.0,2,414,0,0,0,0,0,0,2,NA,0,5,2010,WD ,1,62,6
2608,80,RL,85.0,13400,Pave,NA,4,Lvl,1,Inside,3,NAmes,1Fam,SLvl,5,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,1047.0,3,3,CBlock,3.0,3.0,3.0,5.0,516.0,4.0,128.0,380.0,1024.0,GasA,3,Y,5,1086,0,0,1086,1.0,0.0,1,0,3,1,3,6,8,1,4,Attchd,2.0,2.0,484.0,3.0,3.0,2,0,0,0,0,0,0,0,2,NA,0,6,2006,WD ,2,40,40
165,20,RL,60.0,7200,Pave,NA,4,Lvl,1,Corner,3,NAmes,1Fam,1Story,5,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,2.0,4.0,234.0,3.0,486.0,180.0,900.0,GasA,3,Y,5,900,0,0,900,0.0,1.0,1,0,3,1,4,5,8,0,0,Detchd,1.0,2.0,576.0,3.0,3.0,2,222,32,0,0,0,0,0,0,NA,0,5,2010,WD ,2,59,10
2642,70,RM,58.0,6451,Pave,Grvl,4,Lvl,1,Inside,3,OldTown,1Fam,2Story,7,7,Gable,CompShg,AsbShng,Wd Sdng,None,0.0,3,3,Stone,3.0,3.0,0.0,3.0,208.0,1.0,0.0,504.0,712.0,GasA,4,Y,5,848,580,0,1428,1.0,0.0,1,0,4,1,3,7,8,0,0,Detchd,3.0,2.0,576.0,3.0,3.0,2,264,0,84,0,0,0,0,0,NA,0,5,2006,WD ,2,106,36
1981,30,RM,60.0,7200,Pave,NA,4,Lvl,1,Inside,3,OldTown,1Fam,1Story,5,8,Gable,CompShg,VinylSd,VinylSd,Stone,279.0,3,3,CBlock,3.0,3.0,0.0,1.0,0.0,1.0,0.0,808.0,808.0,GasA,5,Y,5,1072,0,0,1072,0.0,0.0,1,0,2,1,3,5,8,2,4,Detchd,1.0,2.0,379.0,3.0,3.0,2,0,0,0,0,0,0,0,0,NA,0,5,2007,WD ,2,67,57
2633,20,RL,74.0,7400,Pave,NA,4,Lvl,1,Corner,3,NAmes,1Fam,1Story,7,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,0.0,2.0,809.0,1.0,0.0,236.0,1045.0,GasA,4,Y,5,1045,0,0,1045,1.0,0.0,1,0,3,1,3,6,8,0,0,Detchd,1.0,2.0,528.0,3.0,3.0,2,0,0,0,0,0,0,0,0,NA,0,3,2006,WD ,1,44,44
28,20,RL,70.0,10500,Pave,NA,4,Lvl,1,FR2,3,NAmes,1Fam,1Story,4,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,0.0,5.0,432.0,1.0,0.0,432.0,864.0,GasA,3,Y,5,864,0,0,864,0.0,0.0,1,0,3,1,3,5,8,1,1,NA,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,NA,0,4,2010,ConLI,2,39,39
